Type,ID,Organization,RoadName,DirectionOfTravel,Description,Date Reported,Last Updated,Start Date,Planned End Date,LanesAffected,Latitude,Longitude,EventType,LinkId,Comment
event,MTO--106431,MTO,11,Northbound,Recurring-Construction on HWY 11 Northbound  between HWY 400 and SIMCOE ROAD 93/PENETANGUISHENE ROAD. 1 Alternating Lane(s).,1/6/2019,1/2/2019,1/6/2019,1/12/2019,1 Alternating Lane(s),44.422604,-79.65403,roadwork,1129778497,"Detailed closure information is as follows: MON: 1st Lane Closed at 00:00, 1st Lane Opened at 14:00;"
event,MTO--106430,MTO,11,Northbound,Recurring-Construction on HWY 11 Northbound  between HWY 400 and SIMCOE ROAD 93/PENETANGUISHENE ROAD. 1 Alternating Lane(s).,1/6/2019,1/2/2019,1/6/2019,1/12/2019,1 Alternating Lane(s),44.422604,-79.65403,roadwork,1129778497,"Detailed closure information is as follows: SUN: 1st Lane Closed at 00:00, 1st Lane Opened at 23:59; MON: 1st Lane Closed at 17:00, 1st Lane Opened at 15:00; TUE: 1st Lane Closed at 19:00, 1st Lane Opened at 15:00; WED: 1st Lane Closed at 19:00, 1st Lane Opened at 15:00; THU: 1st Lane Closed at 19:00, 1st Lane Opened at 12:00; FRI: 1st Lane Closed at 21:00, 1st Lane Opened at 10:00; SAT: 1st Lane Closed at 17:00, 1st Lane Opened at 23:59;"
event,MTO--22247,MTO,EC ROW (7087),Eastbound,Maintenance on EC ROW (7087) Eastbound  between Ojibway Parkway and Malden Road. 1 Right Lane(s).,1/7/2019,1/4/2019,1/7/2019,1/8/2019,1 Right Lane(s),42.274235,-83.07866,roadwork,1151411586,"Ec Row eastbound right lane will be closed for maintenance from Ojibway Parkway to Malden road, starting January 7th at 22:00 until January 8th at 06:00 hours.  The eastbound on ramp at Matchette road will be closed during this time."
event,MTO--106440,MTO,Queen Elizabeth ,Toronto Bound,Recurring-Engineering Investigation on QEW Toronto bound On-ramp at GILMORE ROAD Eastbound. ALL LANES CLOSED.,1/9/2019,1/4/2019,1/9/2019,1/11/2019,ALL LANES CLOSED,42.919228,-78.96801,roadwork,1192889492,
event,MTO--106420,MTO,401,Eastbound,Recurring-Engineering Investigation on HWY 401 Eastbound  between ALBERT ST and ALBERT ST. 2 Left Lane(s).,1/6/2019,1/2/2019,1/6/2019,1/10/2019,2 Left Lane(s),43.881905,-78.854355,roadwork,926736276,
event,MTO--359045,MTO,144,Both Directions,Weather on HWY 144 Both Directions  between SEC HWY 560 and HWY 101-TIMMINS. All lanes closed.,1/7/2019,1/7/2019,1/7/2019,12/31/1969,All lanes closed,47.472479,-81.847151,closures,888134325,HWY 144 CLOSED AT HWY 560 GOGAMA TO HWY 101 TIMMINS DUE TO ADVERSE WEATHER. UPDATED JANUARY 7TH AT 1915
event,MTO--106470,MTO,401,Eastbound,Recurring-Engineering Investigation on HWY 401 Eastbound Off-ramp between  and MISSISSAUGA ROAD Eastbound. 1 Right Lane(s).,1/6/2019,1/3/2019,1/6/2019,1/8/2019,1 Right Lane(s),43.605526,-79.74617,roadwork,133783860,
event,MTO--106462,MTO,427,Southbound,Recurring-Construction on HWY 427 Southbound  between ALBION ROAD and FINCH AVENUE. 2 Alternating Lane(s).,1/6/2019,1/3/2019,1/6/2019,1/12/2019,2 Alternating Lane(s),43.748093,-79.62958,roadwork,947749909,"Detailed closure information is as follows: SUN: 1st Lane Closed at 22:00, 2nd Lane Closed at 23:00, 2nd Lane Opened at 05:00, 1st Lane Opened at 05:00; MON: 1st Lane Closed at 21:00, 2nd Lane Closed at 23:00, 2nd Lane Opened at 05:00, 1st Lane Opened at 05:00; TUE: 1st Lane Closed at 21:00, 2nd Lane Closed at 23:00, 2nd Lane Opened at 05:00, 1st Lane Opened at 05:00; WED: 1st Lane Closed at 21:00, 2nd Lane Closed at 23:00, 2nd Lane Opened at 05:00, 1st Lane Opened at 05:00; THU: 1st Lane Closed at 21:00, 2nd Lane Closed at 23:00, 2nd Lane Opened at 05:00, 1st Lane Opened at 05:00; FRI: 1st Lane Closed at 21:00, 2nd Lane Closed at 23:59, 2nd Lane Opened at 07:00, 1st Lane Opened at 10:00;"
event,MTO--106382,MTO,11,Northbound,Recurring-Maintenance on HWY 11 Northbound  between SIMCOE ROAD 93/PENETANGUISHENE ROAD and COOPER FALLS ROAD/CANAL ROAD/COUNTY ROAD 52. 1 Right Lane(s).,1/7/2019,1/2/2019,1/7/2019,1/11/2019,1 Right Lane(s),44.435024,-79.643555,roadwork,119661718,"Detailed closure information is as follows: MON: 1st Lane Closed at 09:00, 1st Lane Opened at 15:00; TUE: 1st Lane Closed at 09:00, 1st Lane Opened at 15:00; WED: 1st Lane Closed at 09:00, 1st Lane Opened at 15:00; THU: 1st Lane Closed at 09:00, 1st Lane Opened at 15:00; FRI: 1st Lane Closed at 09:00, 1st Lane Opened at 11:00;"
event,MTO--106383,MTO,11,Southbound,Recurring-Maintenance on HWY 11 Southbound  between COOPER FALLS ROAD/CANAL ROAD/COUNTY ROAD 52 and SIMCOE ROAD 93/PENETANGUISHENE ROAD. 1 Alternating Lane(s).,1/7/2019,1/2/2019,1/7/2019,1/11/2019,1 Alternating Lane(s),44.771248,-79.33455,roadwork,37164886,"Detailed closure information is as follows: MON: 1st Lane Closed at 09:00, 1st Lane Opened at 15:00; TUE: 1st Lane Closed at 09:00, 1st Lane Opened at 15:00; WED: 1st Lane Closed at 09:00, 1st Lane Opened at 15:00; THU: 1st Lane Closed at 09:00, 1st Lane Opened at 15:00; FRI: 1st Lane Closed at 09:00, 1st Lane Opened at 11:00;"
